economy,time,SH.UHC.NOP1.CG,SH.UHC.NOP2.TO,SH.UHC.OOPC.25.ZS
KAZ,YR2004,0.0004201,108000.0,0.1422174
KAZ,YR2008,4.15e-05,30000.0,0.4228836
KAZ,YR2012,0.0,0.0,0.0924415
KEN,YR1992,,,
KEN,YR1996,,,
KEN,YR2000,,,
KEN,YR2004,,,
KEN,YR2008,,,
KEN,YR2012,,,
KGZ,YR1992,,,
KGZ,YR1996,,,
KGZ,YR2000,,,
KGZ,YR2004,,,
KGZ,YR2008,0.0010274,35000.0,0.2976088
KGZ,YR2012,,,
KHM,YR1992,,,
KHM,YR1996,,,
KHM,YR2000,,,
KHM,YR2004,,,
KHM,YR2008,,,
KHM,YR2012,,,
KIR,YR1992,,,
KIR,YR1996,,,
KIR,YR2000,,,
KIR,YR2004,,,
KIR,YR2008,,,
KIR,YR2012,,,
KNA,YR1992,,,
KNA,YR1996,,,
KNA,YR2000,,,
KNA,YR2004,,,
KNA,YR2008,,,
KNA,YR2012,,,
KOR,YR1992,,,
KOR,YR1996,,,
KOR,YR2000,,,
KOR,YR2004,5.1e-05,13000.0,3.242417
KOR,YR2008,8.04e-06,20000.0,4.006336
KOR,YR2012,,,
KWT,YR1992,,,
KWT,YR1996,,,
KWT,YR2000,,,
KWT,YR2004,,,
KWT,YR2008,,,
KWT,YR2012,,,
LAO,YR1992,,,
LAO,YR1996,,,
LAO,YR2000,,,
LAO,YR2004,,,
LAO,YR2008,,,
LAO,YR2012,,,
LBN,YR1992,,,
LBN,YR1996,,,
LBN,YR2000,,,
LBN,YR2004,,,
LBN,YR2008,,,
LBN,YR2012,,,
LBR,YR1992,,,
LBR,YR1996,,,
LBR,YR2000,,,
LBR,YR2004,,,
LBR,YR2008,,,
LBR,YR2012,,,
LBY,YR1992,,,
LBY,YR1996,,,
LBY,YR2000,,,
LBY,YR2004,,,
LBY,YR2008,,,
LBY,YR2012,,,
LCA,YR1992,,,
LCA,YR1996,,,
LCA,YR2000,,,
LCA,YR2004,,,
LCA,YR2008,,,
LCA,YR2012,,,
LCN,YR1992,,,
LCN,YR1996,,,
LCN,YR2000,,7888000.0,2.58445214876029
LCN,YR2004,,,
LCN,YR2008,,,
LCN,YR2012,,,
LIE,YR1992,,,
LIE,YR1996,,,
LIE,YR2000,,,
LIE,YR2004,,,
LIE,YR2008,,,
LIE,YR2012,,,
LKA,YR1992,,,
LKA,YR1996,,,
LKA,YR2000,,,
LKA,YR2004,,,
LKA,YR2008,,,
LKA,YR2012,,,
LSO,YR1992,,,
LSO,YR1996,,,
LSO,YR2000,,,
LSO,YR2004,,,
LSO,YR2008,,,
LSO,YR2012,,,
LTU,YR1992,,,
LTU,YR1996,,,
LTU,YR2000,9.59e-05,14000.0,2.427599
LTU,YR2004,1.33e-05,6000.0,2.528057
LTU,YR2008,3.43e-05,1000.0,2.665618
LTU,YR2012,,,
LUX,YR1992,,,
LUX,YR1996,,,
LUX,YR2000,,,
LUX,YR2004,,,
LUX,YR2008,,,
LUX,YR2012,,,
LVA,YR1992,,,
LVA,YR1996,,,
LVA,YR2000,,,
LVA,YR2004,0.0004541,4000.0,1.788377
LVA,YR2008,,,
LVA,YR2012,,,
MAC,YR1992,,,
MAC,YR1996,,,
MAC,YR2000,,,
MAC,YR2004,,,
MAC,YR2008,,,
MAC,YR2012,,,
MAF,YR1992,,,
MAF,YR1996,,,
MAF,YR2000,,,
MAF,YR2004,,,
MAF,YR2008,,,
MAF,YR2012,,,
MAR,YR1992,,,
MAR,YR1996,,,
MAR,YR2000,0.0019061,552000.0,0.5341136
MAR,YR2004,,,
MAR,YR2008,,,
MAR,YR2012,,,
MCO,YR1992,,,
MCO,YR1996,,,
MCO,YR2000,,,
MCO,YR2004,,,
MCO,YR2008,,,
MCO,YR2012,,,
MDA,YR1992,,,
MDA,YR1996,,,
