year,city,iso,country,region,olympic_type,population,GDP_constant_2010_USD,land_area_km_sq,notes,population_%,GDP_%,land_area_%
1992,Barcelona,PRK,North Korea,Asia,summer,20937404,30454732000,120410,"1992 GDP, Bank of Korea (all North Korea GDP data from this source)",0.003960553965,0.0007998306705,0.001088505062
1992,Barcelona,KOR,South Korea,Asia,summer,43747962,425189000000,96460,,0.008275436839,0.0111667114,0.0008719973281
1992,Barcelona,KWT,Kuwait,Asia,summer,1631740,43844942777,17820,"1996 Population, World Bank",0.0003086626368,0.001151496916,0.000161092602
1992,Barcelona,LAO,Laos,Asia,summer,4502363,2166038128,230800,,0.0008516744307,0.00005688652024,0.002086429435
1992,Barcelona,LVA,Latvia,Europe,summer,2614338,15036110349,62196,,0.0004945324995,0.0003948924004,0.0005622511489
1992,Barcelona,LBN,Lebanon,Asia,summer,2821862,16516154382,10230,,0.0005337880825,0.0004337627018,0.00009247908632
1992,Barcelona,LSO,Lesotho,Africa,summer,1667121,1251094152,30360,,0.0003153553653,0.00003285740536,0.0002744540626
1992,Barcelona,LBY,Libya,Africa,summer,4651004,45936003336,1759540,,0.0008797916081,0.001206414305,0.01590622205
1992,Barcelona,LIE,Liechtenstein,Europe,summer,29497,3287936920,160,,0.0000055797013,0.00008635087616,0.000001446398222
1992,Barcelona,LTU,Lithuania,Europe,summer,3700114,24745098963,62680,,0.0006999196832,0.0006498789448,0.0005666265035
1992,Barcelona,LUX,Luxembourg,Europe,summer,392175,27845863938,2590,"2000 land mass, World Bank",0.00007418447155,0.0007313141362,0.00002341357122
1992,Barcelona,MDG,Madagascar,Africa,summer,12301336,5414275712,581540,,0.002326941061,0.0001421947753,0.005257115138
1992,Barcelona,MWI,Malawi,Africa,summer,9729717,3143591512,94280,,0.001840489358,0.00008255994198,0.0008522901524
1992,Barcelona,MYS,Malaysia,Asia,summer,19012724,97570090280,328550,,0.003596478314,0.002562477014,0.002970088349
1992,Barcelona,MDV,Maldives,Asia,summer,234000,964231027,300,,0.00004426382697,0.00002532353753,0.000002711996666
1992,Barcelona,MLI,Mali,Africa,summer,8868263,4405875697,1220190,,0.001677535295,0.0001157112305,0.01103050404
1992,Barcelona,MLT,Malta,Europe,summer,367618,4738185695,320,,0.00006953922882,0.0001244386666,0.000002892796444
1992,Barcelona,MRT,Mauritania,Africa,summer,2141445,2143630893,1030700,,0.0004050792775,0.00005629804046,0.009317516547
1992,Barcelona,MUS,Mauritius,Africa,summer,1084441,4366927117,2030,,0.0002051346529,0.0001146883264,0.00001835117744
1992,Barcelona,MEX,Mexico,Americas,summer,88828310,669109000000,1943950,,0.01680291002,0.01757276669,0.0175732864
1992,Barcelona,MCO,Monaco,Europe,summer,29863,3759041957,2,,0.000005648934465,0.00009872347749,0.00000001807997778
1992,Barcelona,MNG,Mongolia,Asia,summer,2243502,3187216784,1553560,,0.0004243845484,0.00008370566969,0.01404416514
1992,Barcelona,MAR,Morocco,Africa,summer,25791494,45330392242,446300,,0.004878761657,0.00119050918,0.004034547041
1992,Barcelona,MOZ,Mozambique,Africa,summer,14071231,2277201007,786380,,0.002661737326,0.00005980598379,0.007108866462
1992,Barcelona,MMR,Myanmar,Asia,summer,41711465,8728758488,653540,,0.007890209698,0.0002292428235,0.005907994338
1992,Barcelona,NAM,Namibia,Africa,summer,1513721,5756124453,823290,,0.0002863379676,0.0001511727268,0.007442532452
1992,Barcelona,NPL,Nepal,Asia,summer,19773772,7416446124,143000,,0.003740439412,0.0001947776482,0.001292718411
1992,Barcelona,NLD,Netherlands,Europe,summer,15184166,552741000000,33760,,0.002872261951,0.01451660138,0.0003051900249
1992,Barcelona,ANT,Netherlands Antilles,Americas,summer,195000,3143964759,1020,"1996 Population; Land Area, UNEP",0.00003688652248,0.00008256974454,0.000009220788666
1992,Barcelona,NZL,New Zealand,Oceania,summer,3531700,84045947918,263310,,0.0006680622124,0.002207293332,0.002380319474
1992,Barcelona,NIC,Nicaragua,Americas,summer,4331277,4725863055,120340,,0.00081931152,0.0001241150379,0.001087872263
1992,Barcelona,NER,Niger,Africa,summer,8549424,2936837965,1266700,,0.001617223182,0.00007712998685,0.01145095392
1992,Barcelona,NGA,Nigeria,Africa,summer,100221563,130698000000,910770,,0.0189580766,0.00343251318,0.00823335068
1992,Barcelona,NOR,Norway,Europe,summer,4286401,272932000000,365245,,0.0008108227017,0.007167995586,0.003301810741
1992,Barcelona,OMN,Oman,Asia,summer,1983277,31057681925,309500,,0.0003751599571,0.0008156659057,0.002797876561
1992,Barcelona,PAK,Pakistan,Asia,summer,113747135,90385860526,770880,,0.02151659616,0.00237379805,0.006968746634
1992,Barcelona,PAN,Panama,Americas,summer,2576018,11769899988,74340,,0.0004872838249,0.0003091121274,0.0006720327739
1992,Barcelona,PNG,Papua New Guinea,Oceania,summer,4535520,8020230398,452860,,0.0008579464637,0.0002106347958,0.004093849368
1992,Barcelona,PRY,Paraguay,Americas,summer,4432736,11846264090,397300,,0.0008385036723,0.0003111176729,0.003591587585
1992,Barcelona,PER,Peru,Americas,summer,22737056,59468972009,1280000,,0.004300979114,0.001561829792,0.01157118578
1992,Barcelona,PHL,Philippines,Asia,summer,65075486,94290648383,298170,,0.01230978655,0.002476349242,0.002695453487
1992,Barcelona,POL,Poland,Europe,summer,38363667,216033000000,306290,,0.007256934692,0.005673660804,0.002768858197
1992,Barcelona,PRT,Portugal,Europe,summer,9952494,175764000000,91500,,0.001882630224,0.004616078643,0.0008271589833
1992,Barcelona,PRI,Puerto Rico,Americas,summer,3585176,71987591523,8870,,0.000678177821,0.001890605493,0.00008018470144
1992,Barcelona,QAT,Qatar,Asia,summer,495517,20941218434,11610,,0.00009373281517,0.0005499778747,0.000104954271
1992,Barcelona,ROU,Romania,Europe,summer,22794284,98541159117,229460,,0.004311804457,0.002587980133,0.00207431585
1992,Barcelona,RWA,Rwanda,Africa,summer,6701851,2689722712,24670,,0.001267733218,0.00007064001483,0.0002230165259
1992,Barcelona,VCT,Saint Vincent and the Grenadines,Americas,summer,108003,405330484.3,390,,0.00002043002609,0.00001064516848,0.000003525595666
1992,Barcelona,SMR,San Marino,Europe,summer,24749,1191555592,60,,0.000004681561768,0.00003129374798,0.0000005423993333
1992,Barcelona,SAU,Saudi Arabia,Asia,summer,17378833,351519000000,2149690,,0.00328740879,0.00923192092,0.01943317371
1992,Barcelona,SEN,Senegal,Africa,summer,8029725,6643619795,192530,,0.00151891606,0.00017448096,0.001740469061
1992,Barcelona,SYC,Seychelles,Africa,summer,70763,577313656.2,460,,0.0000133856461,0.00001516195147,0.000004158394889
1992,Barcelona,SLE,Sierra Leone,Africa,summer,4331332,1487815862,72180,,0.0008193219239,0.00003907441243,0.0006525063979
1992,Barcelona,SGP,Singapore,Asia,summer,3230698,77210121012,670,,0.0006111241763,0.002027764449,0.000006056792555
1992,Barcelona,SVN,Slovenia,Europe,summer,1996498,26578626574,20140,,0.0003776608633,0.0006980327627,0.0001820653762
1992,Barcelona,SLB,Solomon Islands,Oceania,summer,329953,476609399.4,27990,,0.00006241445513,0.00001251716205,0.000253029289
1992,Barcelona,ZAF,South Africa,Africa,summer,38646788,215908000000,1213090,,0.007310490329,0.005670377937,0.01096632012
1992,Barcelona,ESP,Spain,Europe,summer,39157685,903694000000,499440,,0.00740713245,0.02373365748,0.00451493205
1992,Barcelona,LKA,Sri Lanka,Asia,summer,17524000,22508624131,62710,,0.00331486882,0.0005911425499,0.0005668977032
1992,Barcelona,SDN,Sudan,Africa,summer,21701476,22708983110,2376000,,0.004105087088,0.0005964045649,0.0214790136
1992,Barcelona,SUR,Suriname,Americas,summer,422763,2575058065,156000,,0.00007997054821,0.00006762858457,0.001410238267
