economy,time,SE.SEC.ENRR
FIN,YR2016,152.162857055664
FJI,YR1992,80.7520217895508
FJI,YR1996,
FJI,YR2000,78.3509826660156
FJI,YR2004,90.8996124267578
FJI,YR2008,87.605110168457
FJI,YR2012,89.8818893432617
FJI,YR2016,
FRA,YR1992,104.522071838379
FRA,YR1996,112.583740234375
FRA,YR2000,105.590217590332
FRA,YR2004,102.220016479492
FRA,YR2008,106.432838439941
FRA,YR2012,105.813583374023
FRA,YR2016,103.308097839355
FRO,YR1992,
FRO,YR1996,
FRO,YR2000,
FRO,YR2004,
FRO,YR2008,
FRO,YR2012,
FRO,YR2016,
FSM,YR1992,
FSM,YR1996,
FSM,YR2000,
FSM,YR2004,82.3586807250977
FSM,YR2008,
FSM,YR2012,
FSM,YR2016,
GAB,YR1992,
GAB,YR1996,49.0232086181641
GAB,YR2000,
GAB,YR2004,
GAB,YR2008,
GAB,YR2012,
GAB,YR2016,
GBR,YR1992,91.0782928466797
GBR,YR1996,102.001792907715
GBR,YR2000,101.896011352539
GBR,YR2004,104.689041137695
GBR,YR2008,98.3396606445313
GBR,YR2012,91.5527572631836
GBR,YR2016,
GEO,YR1992,89.3590927124023
GEO,YR1996,75.8446578979492
GEO,YR2000,87.208381652832
GEO,YR2004,91.5277633666992
GEO,YR2008,99.3173675537109
GEO,YR2012,
GEO,YR2016,100.907348632813
GHA,YR1992,
GHA,YR1996,
GHA,YR2000,35.1286010742188
GHA,YR2004,38.1757698059082
GHA,YR2008,47.3539810180664
GHA,YR2012,56.442440032959
GHA,YR2016,68.9029388427734
GIB,YR1992,
GIB,YR1996,
GIB,YR2000,92.4575729370117
GIB,YR2004,
GIB,YR2008,84.8884429931641
GIB,YR2012,
GIB,YR2016,110.584518432617
GIN,YR1992,
GIN,YR1996,13.960410118103
GIN,YR2000,
GIN,YR2004,24.6286697387695
GIN,YR2008,33.8842086791992
GIN,YR2012,37.806079864502
GIN,YR2016,
GMB,YR1992,18.2027797698975
GMB,YR1996,23.3208808898926
GMB,YR2000,
GMB,YR2004,
GMB,YR2008,50.1135787963867
GMB,YR2012,
GMB,YR2016,
GNB,YR1992,
GNB,YR1996,
GNB,YR2000,18.0877990722656
GNB,YR2004,
GNB,YR2008,
GNB,YR2012,
GNB,YR2016,
GNQ,YR1992,
GNQ,YR1996,
GNQ,YR2000,23.4883708953857
GNQ,YR2004,
GNQ,YR2008,
GNQ,YR2012,
GNQ,YR2016,
GRC,YR1992,92.9607086181641
GRC,YR1996,89.6977691650391
GRC,YR2000,87.8114929199219
GRC,YR2004,95.8661880493164
GRC,YR2008,
GRC,YR2012,104.562400817871
GRC,YR2016,102.956848144531
GRD,YR1992,106.488746643066
GRD,YR1996,
GRD,YR2000,
GRD,YR2004,114.867141723633
GRD,YR2008,120.776832580566
GRD,YR2012,
GRD,YR2016,115.186859130859
GRL,YR1992,
GRL,YR1996,
GRL,YR2000,
GRL,YR2004,
GRL,YR2008,
GRL,YR2012,
GRL,YR2016,
GTM,YR1992,
GTM,YR1996,24.4419498443604
GTM,YR2000,30.3855209350586
GTM,YR2004,39.4809112548828
GTM,YR2008,45.7369613647461
GTM,YR2012,53.1233711242676
GTM,YR2016,53.4359893798828
GUM,YR1992,
GUM,YR1996,
GUM,YR2000,
GUM,YR2004,
GUM,YR2008,
GUM,YR2012,
GUM,YR2016,
GUY,YR1992,
GUY,YR1996,
GUY,YR2000,
GUY,YR2004,
GUY,YR2008,84.1689376831055
GUY,YR2012,97.7277908325195
GUY,YR2016,
HIC,YR1992,94.3846893310547
HIC,YR1996,100.283531188965
HIC,YR2000,99.0558090209961
HIC,YR2004,100.123901367188
HIC,YR2008,100.574371337891
HIC,YR2012,102.136070251465
HIC,YR2016,106.691520690918
HKG,YR1992,
HKG,YR1996,81.7804336547852
HKG,YR2000,
HKG,YR2004,81.1752090454102
HKG,YR2008,86.0247268676758
HKG,YR2012,107.129470825195
HKG,YR2016,103.559280395508
HND,YR1992,
HND,YR1996,
HND,YR2000,
HND,YR2004,
HND,YR2008,60.0184593200684
HND,YR2012,63.8839797973633
HND,YR2016,51.8207817077637
HPC,YR1992,18.4433193206787
HPC,YR1996,19.5108203887939
HPC,YR2000,21.70285987854
HPC,YR2004,26.3553199768066
HPC,YR2008,33.0844497680664
HPC,YR2012,38.7840003967285
HPC,YR2016,40.5546417236328
HRV,YR1992,
HRV,YR1996,81.6505126953125
HRV,YR2000,85.5260467529297
HRV,YR2004,
HRV,YR2008,98.3713531494141
HRV,YR2012,98.9171829223633
HRV,YR2016,98.8711090087891
HTI,YR1992,
HTI,YR1996,
HTI,YR2000,
HTI,YR2004,
HTI,YR2008,
HTI,YR2012,
HTI,YR2016,
HUN,YR1992,83.2844161987305
HUN,YR1996,91.4106826782227
HUN,YR2000,96.1312637329102
HUN,YR2004,95.9534378051758
HUN,YR2008,96.0428085327148
HUN,YR2012,98.060661315918
HUN,YR2016,102.71395111084
IBD,YR1992,53.2478981018066
IBD,YR1996,59.2467308044434
IBD,YR2000,62.283748626709
IBD,YR2004,66.1441497802734
IBD,YR2008,73.8419418334961
IBD,YR2012,79.8686599731445
IBD,YR2016,83.3020629882813
IBT,YR1992,47.4734992980957
IBT,YR1996,52.0574989318848
IBT,YR2000,54.7478790283203
IBT,YR2004,58.4936218261719
IBT,YR2008,64.4135513305664
IBT,YR2012,69.4197463989258
IBT,YR2016,71.9879531860352
IDA,YR1992,27.0529499053955
IDA,YR1996,28.5544700622559
IDA,YR2000,30.7532196044922
IDA,YR2004,35.2091102600098
IDA,YR2008,39.5615386962891
IDA,YR2012,44.9195098876953
IDA,YR2016,47.4531402587891
IDB,YR1992,33.9274597167969
IDB,YR1996,32.1222801208496
IDB,YR2000,31.524169921875
IDB,YR2004,36.156681060791
IDB,YR2008,40.9767990112305
IDB,YR2012,46.2791481018066
IDB,YR2016,47.3761100769043
IDN,YR1992,44.0668411254883
IDN,YR1996,50.3472709655762
IDN,YR2000,55.0771217346191
IDN,YR2004,61.8672409057617
IDN,YR2008,69.6562271118164
IDN,YR2012,80.4523315429688
IDN,YR2016,84.9521179199219
IDX,YR1992,22.9744606018066
IDX,YR1996,26.2978897094727
IDX,YR2000,30.0567607879639
IDX,YR2004,34.3988990783691
IDX,YR2008,38.5685501098633
IDX,YR2012,44.0529708862305
IDX,YR2016,47.342041015625
IMN,YR1992,
IMN,YR1996,
IMN,YR2000,
IMN,YR2004,
IMN,YR2008,
IMN,YR2012,
IMN,YR2016,
IND,YR1992,
IND,YR1996,45.2803993225098
IND,YR2000,44.8719787597656
IND,YR2004,51.3718490600586
IND,YR2008,60.3564910888672
IND,YR2012,69.0128326416016
IND,YR2016,75.091796875
IRL,YR1992,100.681098937988
IRL,YR1996,110.571746826172
IRL,YR2000,105.122367858887
IRL,YR2004,109.409881591797
IRL,YR2008,111.293968200684
IRL,YR2012,117.75218963623
IRL,YR2016,117.028717041016
IRN,YR1992,57.5248794555664
IRN,YR1996,
IRN,YR2000,77.5098495483398
IRN,YR2004,77.4774703979492
IRN,YR2008,81.0142364501953
IRN,YR2012,84.9821166992188
IRN,YR2016,86.8663177490234
IRQ,YR1992,
IRQ,YR1996,39.0048408508301
IRQ,YR2000,37.7888793945313
IRQ,YR2004,47.8033599853516
IRQ,YR2008,
IRQ,YR2012,
IRQ,YR2016,
ISL,YR1992,101.527046203613
ISL,YR1996,103.204933166504
ISL,YR2000,106.457061767578
ISL,YR2004,110.086181640625
ISL,YR2008,108.584609985352
ISL,YR2012,110.009140014648
ISL,YR2016,117.629013061523
ISR,YR1992,92.8190002441406
ISR,YR1996,90.5455932617188
ISR,YR2000,104.162178039551
ISR,YR2004,105.728309631348
ISR,YR2008,104.08235168457
ISR,YR2012,102.222793579102
ISR,YR2016,105.23307800293
ITA,YR1992,82.2886123657227
ITA,YR1996,89.5475692749023
ITA,YR2000,93.0541687011719
ITA,YR2004,99.0179290771484
ITA,YR2008,101.100967407227
ITA,YR2012,102.033340454102
ITA,YR2016,101.662353515625
JAM,YR1992,
JAM,YR1996,
JAM,YR2000,85.2874603271484
JAM,YR2004,89.9325714111328
JAM,YR2008,93.5766906738281
JAM,YR2012,
JAM,YR2016,83.7769165039063
JOR,YR1992,77.936653137207
JOR,YR1996,81.5097198486328
JOR,YR2000,82.2307662963867
JOR,YR2004,84.6346969604492
JOR,YR2008,85.9046630859375
JOR,YR2012,74.1864013671875
