economy,time,CC.EST,GE.EST,PV.EST,RQ.EST,VA.EST
BEN,YR2016,-0.501190602779388,-0.597261607646942,-0.00202717096544802,-0.573481380939484,0.40838611125946
BFA,YR1996,0.11151909083128,-0.928940415382385,-0.300746202468872,-0.295270144939423,-0.533439755439758
BFA,YR2000,0.12469719350338,-0.783201575279236,0.059820331633091,-0.157018542289734,-0.230154827237129
BFA,YR2004,-0.149054154753685,-0.695688009262085,-0.0812375172972679,-0.329019099473953,-0.433708816766739
BFA,YR2008,-0.30901512503624,-0.527292013168335,0.118724599480629,-0.229373604059219,-0.283480763435364
BFA,YR2012,-0.482446640729904,-0.631817698478699,-0.573129236698151,-0.139083847403526,-0.30497083067894
BFA,YR2016,-0.145827129483223,-0.595434606075287,-0.86737585067749,-0.437461882829666,0.0138364434242249
BGD,YR1996,-0.969682216644287,-0.687850117683411,-0.548815250396729,-0.929817795753479,-0.0584283582866192
BGD,YR2000,-1.21208262443542,-0.607652246952057,-0.726261258125305,-0.941208124160767,-0.22792449593544
BGD,YR2004,-1.59711492061615,-0.937496602535248,-1.36047637462616,-1.17591226100922,-0.672145783901215
BGD,YR2008,-1.0467883348465,-0.73781830072403,-1.50833129882813,-0.914517819881439,-0.442116975784302
BGD,YR2012,-0.85661906003952,-0.80632072687149,-1.37908899784088,-0.95947253704071,-0.401940673589706
BGD,YR2016,-0.863241136074066,-0.675904393196106,-1.26193678379059,-0.804246246814728,-0.583839416503906
BGR,YR1996,-0.361505150794983,-0.0425848290324211,-0.0910280793905258,-0.184434711933136,0.428986370563507
BGR,YR2000,-0.178624525666237,0.0379754789173603,0.377964615821838,0.199957489967346,0.460498780012131
BGR,YR2004,0.0682040601968765,0.075740858912468,0.00363073358312249,0.707843780517578,0.5696901679039
BGR,YR2008,-0.274787336587906,-0.180583730340004,0.369860708713531,0.734121799468994,0.57797634601593
BGR,YR2012,-0.281460791826248,-0.031450092792511,0.379833996295929,0.574710845947266,0.400915592908859
BGR,YR2016,-0.236125767230988,0.120276361703873,0.0773332640528679,0.710182666778564,0.402202278375626
BHR,YR1996,0.328688681125641,0.776639640331268,-0.307817906141281,0.790487110614777,-0.718783438205719
BHR,YR2000,0.360480934381485,0.551933765411377,0.0562669634819031,0.74830287694931,-1.05687987804413
BHR,YR2004,0.436752140522003,0.527056634426117,0.313402563333511,0.702606558799744,-0.561549425125122
BHR,YR2008,0.181815281510353,0.379488408565521,-0.237366229295731,0.711206674575806,-0.868917524814606
BHR,YR2012,0.366530209779739,0.544541776180267,-1.12995493412018,0.684159576892853,-1.31802463531494
BHR,YR2016,-0.0218939129263163,0.325291305780411,-0.793425679206848,0.604506552219391,-1.37202835083008
BHS,YR1996,1.1568101644516,1.37324202060699,1.07101774215698,0.967723608016968,1.10283946990967
BHS,YR2000,1.30232381820679,1.23428380489349,1.2795318365097,1.14310491085052,1.20222544670105
BHS,YR2004,1.4110358953476,1.20134437084198,0.890613675117493,1.12439823150635,0.98453950881958
BHS,YR2008,1.33007168769836,1.14091324806213,0.774532914161682,1.05282950401306,1.12191426753998
BHS,YR2012,1.31606793403625,0.982968807220459,1.18402600288391,0.390349686145782,0.934573888778687
BHS,YR2016,1.10253179073334,0.715726613998413,0.975418746471405,0.253657579421997,0.852161884307861
BIH,YR1996,-0.270569711923599,-1.19204592704773,-0.594427824020386,-0.910771250724792,-0.103825636208057
BIH,YR2000,-0.59584903717041,-1.05737936496735,-0.52839332818985,-0.683763086795807,-0.108343385159969
BIH,YR2004,-0.324706375598907,-0.704951226711273,0.0173193961381912,-0.234620720148087,0.168824627995491
BIH,YR2008,-0.360781222581863,-0.602844953536987,-0.539653778076172,-0.17543862760067,0.0151520045474172
BIH,YR2012,-0.309364050626755,-0.449273467063904,-0.538148701190948,-0.0617377646267414,-0.100325390696526
BIH,YR2016,-0.461519122123718,-0.41333082318306,-0.397838830947876,-0.128769919276237,-0.131173372268677
BLR,YR1996,-0.389609158039093,-0.380564451217651,0.0937392041087151,-1.09399676322937,-0.819772601127625
BLR,YR2000,-0.504357814788818,-0.721570193767548,0.139502242207527,-1.49640619754791,-1.31242227554321
BLR,YR2004,-0.759292542934418,-1.20764088630676,0.161766871809959,-1.19036209583282,-1.59736406803131
BLR,YR2008,-0.559036314487457,-1.16709685325623,0.521403908729553,-1.24682021141052,-1.59331786632538
BLR,YR2012,-0.458519369363785,-0.967426657676697,0.0686152204871178,-1.17406153678894,-1.56718134880066
BLR,YR2016,-0.198352843523026,-0.472853124141693,0.142281472682953,-1.07978904247284,-1.3393886089325
BLZ,YR1996,-0.0265951305627823,0.388550758361816,0.559152126312256,0.143011912703514,0.824221611022949
BLZ,YR2000,-0.042195025831461,0.364934474229813,0.184220716357231,0.20732094347477,0.975879788398743
BLZ,YR2004,-0.103965632617474,0.206069439649582,0.401561915874481,-0.118548452854156,0.7400723695755
BLZ,YR2008,-0.302956253290176,-0.313745677471161,0.190071985125542,-0.382103830575943,0.646870255470276
BLZ,YR2012,-0.0309748947620392,-0.16534312069416,0.180257618427277,-0.436850935220718,0.695277273654938
BLZ,YR2016,-0.200448960065842,-0.600371897220612,0.0606221370398998,-0.483711928129196,0.570842862129211
BMU,YR1996,1.31814324855804,1.15766596794128,0.717076897621155,1.50620913505554,1.18036329746246
BMU,YR2000,1.31340384483337,1.12659859657288,0.713235020637512,1.45910060405731,0.939376175403595
BMU,YR2004,1.30641043186188,1.15745306015015,0.893765926361084,1.43838393688202,1.13497161865234
BMU,YR2008,1.27677536010742,1.01299834251404,0.795972287654877,1.39858841896057,0.967198193073273
BMU,YR2012,1.26053082942963,1.00199294090271,0.98025369644165,1.32121312618256,1.02567172050476
BMU,YR2016,1.22331142425537,1.32312893867493,0.999670088291168,0.867859840393066,
