economy,time,EF.EFM.OVRL.XD,EF.EFM.RANK.XD
HUN,YR2012,1.9499,25.0
IDN,YR1996,1.1111,41.0
IDN,YR2000,1.5487,31.0
IDN,YR2004,1.6356,29.0
IDN,YR2008,1.6062,32.0
IDN,YR2012,1.4925,35.0
IND,YR1996,2.676,17.0
IND,YR2000,3.5839,14.0
IND,YR2004,4.0137,10.0
IND,YR2008,3.8155,10.0
IND,YR2012,4.0268,8.0
IRL,YR1996,1.6307,27.0
IRL,YR2000,1.2696,38.0
IRL,YR2004,0.97303,48.0
IRL,YR2008,0.98016,52.0
IRL,YR2012,0.72749,55.0
IRN,YR1996,0.031895,117.0
IRN,YR2000,0.20502,88.0
IRN,YR2004,0.32679,83.0
IRN,YR2008,0.054566,116.0
IRN,YR2012,0.03854,118.0
IRQ,YR1996,0.066219,105.0
IRQ,YR2000,0.0,147.0
IRQ,YR2004,7.7e-10,145.0
IRQ,YR2008,0.0,147.0
IRQ,YR2012,0.0,147.5
ISL,YR1996,0.16643,84.0
ISL,YR2000,0.21833,87.0
ISL,YR2004,0.33957,82.0
ISL,YR2008,0.2314,89.0
ISL,YR2012,0.18121,91.0
ISR,YR1996,2.0486,21.0
ISR,YR2000,1.9315,21.0
ISR,YR2004,2.0377,21.0
ISR,YR2008,1.6769,29.0
ISR,YR2012,1.5355,34.0
ITA,YR1996,5.6901,6.0
ITA,YR2000,5.7489,4.0
ITA,YR2004,5.6101,3.0
ITA,YR2008,5.4197,3.0
ITA,YR2012,5.6536,4.0
JOR,YR1996,0.24852,77.0
JOR,YR2000,0.85766,50.0
JOR,YR2004,0.73433,58.0
JOR,YR2008,0.62591,65.0
JOR,YR2012,0.68556,57.0
JPN,YR1996,7.1785,2.0
JPN,YR2000,6.0641,3.0
JPN,YR2004,5.5149,5.0
JPN,YR2008,5.331,4.0
JPN,YR2012,5.8299,3.0
KAZ,YR1996,0.64011,56.0
KAZ,YR2000,0.2536,83.0
KAZ,YR2004,0.22092,88.0
KAZ,YR2008,0.13477,99.0
KAZ,YR2012,0.21947,88.0
KEN,YR1996,0.2723,75.0
KEN,YR2000,0.38733,74.0
KEN,YR2004,0.44222,73.0
KEN,YR2008,0.50269,72.0
KEN,YR2012,0.44937,68.0
KGZ,YR1996,0.4374,69.0
KGZ,YR2000,0.51999,68.0
KGZ,YR2004,0.37068,76.0
KGZ,YR2008,0.33149,79.0
KGZ,YR2012,0.42977,69.0
KHM,YR1996,0.089116,102.0
KHM,YR2000,0.12202,106.0
KHM,YR2004,0.13867,97.0
KHM,YR2008,0.1715,94.0
KHM,YR2012,0.2492,86.0
KOR,YR1996,2.8253,16.0
KOR,YR2000,2.5668,17.0
KOR,YR2004,2.6862,16.0
KOR,YR2008,2.5263,16.0
KOR,YR2012,3.0321,14.0
KWT,YR1996,0.00018362,137.0
KWT,YR2000,0.0051716,137.0
KWT,YR2004,0.017123,130.0
KWT,YR2008,0.0045644,136.0
KWT,YR2012,0.0,140.0
LAO,YR1996,0.18017,82.0
LAO,YR2000,0.050191,120.0
LAO,YR2004,0.13827,98.0
LAO,YR2008,0.12745,100.0
