year,c1,c2,c3,c4,iso_country,c5,c6,c7,c8,c9,c10,c11
1992,Barcelona,Judo,Martial Arts,GER,DEU,Germany,Europe,Men,Single,60 - 65KG (Half-Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,GBR,GBR,UK,Europe,Women,Single,61 - 66KG (Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,BEL,BEL,Belgium,Europe,Women,Single,61 - 66KG (Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,KOR,KOR,South Korea,Asia,Men,Single,65 - 71KG (Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,ISR,ISR,Israel,Asia,Men,Single,65 - 71KG (Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,NED,NLD,Netherlands,Europe,Women,Single,66 - 72KG (Half-Heavyweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,FRA,FRA,France,Europe,Women,Single,66 - 72KG (Half-Heavyweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,FRA,FRA,France,Europe,Men,Single,71 - 78KG (Half-Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,KOR,KOR,South Korea,Asia,Men,Single,71 - 78KG (Half-Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,CAN,CAN,Canada,Americas,Men,Single,78 - 86KG (Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,JPN,JPN,Japan,Asia,Men,Single,78 - 86KG (Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,NED,NLD,Netherlands,Europe,Men,Single,86 - 95KG (Half-Heavyweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,EUN,EUN,Unified Team,noregion,Men,Single,86 - 95KG (Half-Heavyweight),Bronze,summer
1992,Barcelona,Modern Pentathlon,Outdoors Sports,EUN,EUN,Unified Team,noregion,Men,Single,Individual Competition,Bronze,summer
1992,Barcelona,Modern Pentathlon,Outdoors Sports,ITA,ITA,Italy,Europe,Men,Team,Team Competition,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,GER,DEU,Germany,Europe,Women,Team,Four Without Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,SLO,SVN,Slovenia,Europe,Men,Double,Pair Without Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,NED,NLD,Netherlands,Europe,Men,Double,Double Sculls,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,CHN,CHN,China,Asia,Women,Double,Double Sculls,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,GER,DEU,Germany,Europe,Men,Team,Eight With Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,GER,DEU,Germany,Europe,Women,Team,Eight With Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,SLO,SVN,Slovenia,Europe,Men,Team,Four Without Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,POL,POL,Poland,Europe,Men,Team,Four-Oared Shell With Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,USA,USA,USA,Americas,Women,Double,Pair Without Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,ROU,ROU,Romania,Europe,Men,Double,Pair-Oared Shell With Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,ITA,ITA,Italy,Europe,Men,Team,Quadruple Sculls Without Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,EUN,EUN,Unified Team,noregion,Women,Team,Quadruple Sculls Without Coxswain,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,POL,POL,Poland,Europe,Men,Single,Single Sculls,Bronze,summer
1992,Barcelona,Rowing,Outdoors Sports,CAN,CAN,Canada,Americas,Women,Single,Single Sculls,Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,EST,EST,Estonia,Europe,Men,Double,470 - Two Person Dinghy,Bronze,summer
1992,Barcelona,Sailing,Outdoors Sports,USA,USA,USA,Americas,Women,Double,470 - Two Person Dinghy,Bronze,summer
